ticker,company_name,sector,listing_date
081000,일진다이아,기타 화학제품 제조업,2004-12-22
014830,유니드,기초 화학물질 제조업,2004-12-03
041650,상신브레이크,자동차 신품 부품 제조업,2004-10-27
023810,인팩,자동차 신품 부품 제조업,2004-09-21
078930,GS,기타 금융업,2004-08-05
077500,유니퀘스트,기계장비 및 관련 물품 도매업,2004-08-05
058730,다스코,"구조용 금속제품, 탱크 및 증기발생기 제조업",2004-08-02
034220,LG디스플레이,전자부품 제조업,2004-07-23
078000,텔코웨어,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2004-07-20
077970,STX엔진,일반 목적용 기계 제조업,2004-05-10
034310,NICE,회사 본부 및 경영 컨설팅 서비스업,2004-02-04
019680,대교,초등 교육기관,2004-02-03
024110,기업은행,은행 및 저축기관,2003-12-24
074610,이엔플러스,일반 목적용 기계 제조업,2003-12-23
025750,한솔홈데코,제재 및 목재 가공업,2003-11-04
007660,이수페타시스,전자부품 제조업,2003-10-07
035250,강원랜드,유원지 및 기타 오락관련 서비스업,2003-09-04
037270,YG PLUS,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-08-01
072710,농심홀딩스,기타 금융업,2003-07-30
071050,한국금융지주,기타 금융업,2003-07-21
072130,유엔젤,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",2003-07-01
034120,SBS,텔레비전 방송업,2003-06-25
036570,NC,소프트웨어 개발 및 공급업,2003-05-22
071090,하이스틸,1차 철강 제조업,2003-02-17
069730,DSR제강,1차 철강 제조업,2003-01-28
006890,태경케미컬,기초 화학물질 제조업,2003-01-28
011500,한농화성,기타 화학제품 제조업,2003-01-09
069960,현대백화점,종합 소매업,2002-11-25
069460,대호에이엘,1차 비철금속 제조업,2002-11-11
069620,대웅제약,의약품 제조업,2002-11-01
027740,마니커,"도축, 육류 가공 및 저장 처리업",2002-10-29
036530,SNT홀딩스,기타 금융업,2002-10-22
069260,티케이지휴켐스,기타 화학제품 제조업,2002-10-07
033530,SJG세종,자동차 신품 부품 제조업,2002-09-25
058430,포스코스틸리온,1차 철강 제조업,2002-08-16
068290,삼성출판사,"서적, 잡지 및 기타 인쇄물 출판업",2002-08-05
067830,세이브존I&C,종합 소매업,2002-07-25
030610,교보증권,금융 지원 서비스업,2002-07-18
009240,한샘,생활용품 도매업,2002-07-16
017370,우신시스템,특수 목적용 기계 제조업,2002-05-28
066570,LG전자,통신 및 방송 장비 제조업,2002-04-22
024720,콜마홀딩스,기타 금융업,2002-04-09
064960,SNT모티브,자동차 신품 부품 제조업,2002-03-11
037710,광주신세계,종합 소매업,2002-02-07
020760,일진디스플,반도체 제조업,2002-01-09
063160,종근당바이오,의약품 제조업,2001-12-11
055550,신한지주,기타 금융업,2001-09-10
021240,코웨이,그외 기타 개인 서비스업,2001-08-07
058650,세아홀딩스,1차 철강 제조업,2001-07-30
051900,LG생활건강,기타 화학제품 제조업,2001-04-25
051910,LG화학,기초 화학물질 제조업,2001-04-25
047040,대우건설,건물 건설업,2001-03-23
047050,포스코인터내셔널,상품 중개업,2001-03-23
042660,한화오션,선박 및 보트 건조업,2001-02-02
051630,진양화학,플라스틱제품 제조업,2001-01-29
034020,두산에너빌리티,일반 목적용 기계 제조업,2000-10-25
010040,한국내화,"내화, 비내화 요업제품 제조업",2000-10-16
016450,한세예스24홀딩스,봉제의복 제조업,2000-01-06
016710,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업,1999-12-22
003220,대원제약,의약품 제조업,1999-12-15
036460,한국가스공사,연료용 가스 제조 및 배관공급업,1999-12-15
007120,미래아이앤지,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1999-11-26
000850,화천기공,특수 목적용 기계 제조업,1999-11-18
036580,팜스코,"곡물가공품, 전분 및 전분제품 제조업",1999-10-25
033780,케이티앤지,담배 제조업,1999-10-08
009540,HD한국조선해양,기타 금융업,1999-08-24
024090,디씨엠,1차 철강 제조업,1999-08-18
006840,AK홀딩스,기타 금융업,1999-08-11
035000,HS애드,광고업,1999-08-11
006650,대한유화,기초 화학물질 제조업,1999-08-11
035150,백산,플라스틱제품 제조업,1999-08-11
033250,체시스,자동차 신품 부품 제조업,1999-08-11
033240,자화전자,전자부품 제조업,1999-01-06
030200,케이티,전기 통신업,1998-12-23
019490,엑시큐어하이트론,영상 및 음향기기 제조업,1998-11-04
030000,제일기획,광고업,1998-03-03
026890,스틱인베스트먼트,신탁업 및 집합투자업,1997-11-25
029460,케이씨,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1997-11-25
024890,대원화성,플라스틱제품 제조업,1997-10-28
017940,E1,기타 전문 도매업,1997-08-27
018670,SK가스,기타 전문 도매업,1997-08-27
023590,다우기술,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",1997-08-27
014440,영보화학,플라스틱제품 제조업,1997-08-27
011790,SKC,기타 화학제품 제조업,1997-07-18
025890,한국주강,특수 목적용 기계 제조업,1997-07-18
024900,디와이덕양,자동차 신품 부품 제조업,1997-06-23
023960,에쓰씨엔지니어링,토목 건설업,1997-06-23
023800,인지컨트롤스,자동차 신품 부품 제조업,1997-06-23
012320,경동인베스트,기타 금융업,1997-03-07
031820,아이티센씨티에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1997-02-12
025530,에스제이엠홀딩스,자동차 부품 및 내장품 판매업,1997-02-12
000660,SK하이닉스,반도체 제조업,1996-12-26
015360,INVENI,회사 본부 및 경영 컨설팅 서비스업,1996-12-24
023150,MH에탄올,알코올음료 제조업,1996-12-24
023450,동남합성,기초 화학물질 제조업,1996-12-24
028050,삼성E&A,"건축기술, 엔지니어링 및 관련 기술 서비스업",1996-12-24
029530,신도리코,컴퓨터 및 주변장치 제조업,1996-12-24
005320,온타이드,생활용품 도매업,1996-12-24
016800,퍼시스,가구 제조업,1996-12-24
024070,WISCOM,플라스틱제품 제조업,1996-11-22
030720,동원수산,어로 어업,1996-11-22
025560,미래산업,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-11-22
030210,다올투자증권,금융 지원 서비스업,1996-11-19
012630,HDC,기타 금융업,1996-10-16
017900,광전자,반도체 제조업,1996-10-16
025540,한국단자공업,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",1996-10-16
003160,디아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",1996-07-31
011930,신성이엔지,반도체 제조업,1996-07-31
019180,티에이치엔,기타 전기장비 제조업,1996-07-31
018880,한온시스템,일반 목적용 기계 제조업,1996-07-31
006740,블루산업개발,"골판지, 종이 상자 및 종이용기 제조업",1996-07-03
